Vout_Sampled (fin=19531.25) X,Vout_Sampled (fin=19531.25) Y,Vout_Sampled (fin=29296.88) X,Vout_Sampled (fin=29296.88) Y,Vout_Sampled (fin=68359.38) X,Vout_Sampled (fin=68359.38) Y,Vout_Sampled (fin=166015.6) X,Vout_Sampled (fin=166015.6) Y,Vout_Sampled (fin=302734.4) X,Vout_Sampled (fin=302734.4) Y,Vout_Sampled (fin=517578.1) X,Vout_Sampled (fin=517578.1) Y,Vout_Sampled (fin=771484.4) X,Vout_Sampled (fin=771484.4) Y,Vout_Sampled (fin=1064453) X,Vout_Sampled (fin=1064453) Y,Vout_Sampled (fin=1533203) X,Vout_Sampled (fin=1533203) Y,Vout_Sampled (fin=1943359) X,Vout_Sampled (fin=1943359) Y,Vout_Sampled (fin=2568359) X,Vout_Sampled (fin=2568359) Y,Vout_Sampled (fin=3232422) X,Vout_Sampled (fin=3232422) Y,Vout_Sampled (fin=3916016) X,Vout_Sampled (fin=3916016) Y,Vout_Sampled (fin=4677734) X,Vout_Sampled (fin=4677734) Y,Vout_Sampled (fin=4970703) X,Vout_Sampled (fin=4970703) Y
3.025e-06,1.216451642636655,3.025e-06,1.361755322998705,3.025e-06,1.753445721374587,3.025e-06,0.9623757600944276,3.025e-06,0.3361301576327128,3.025e-06,0.7643542235730223,3.025e-06,1.786510698624611,3.025e-06,1.570239976153312,3.025e-06,0.8150924041239734,3.025e-06,0.01785321548725183,3.025e-06,0.5520625668769079,3.025e-06,0.7926683516110783,3.025e-06,0.7199170258458036,3.025e-06,0.01643008309177267,3.025e-06,0.2169252893644711
3.125e-06,1.22670136630089,3.125e-06,1.375789200791423,3.125e-06,1.764231816452964,3.125e-06,0.8690739935570072,3.125e-06,0.4777090950751757,3.125e-06,0.4888084802968632,3.125e-06,1.627078091598483,3.125e-06,1.793614207274808,3.125e-06,0.1199436809588416,3.125e-06,0.4557727173865371,3.125e-06,0.09114451259515029,3.125e-06,0.1516601415274837,3.125e-06,0.4880831676735893,3.125e-06,1.794179818436053,3.125e-06,1.572425138863077
3.225e-06,1.236901611385816,3.225e-06,1.389661865624271,3.225e-06,1.773423733287479,3.225e-06,0.7761083253141442,3.225e-06,0.6345202494091735,3.225e-06,0.2563697068066343,3.225e-06,1.300113974480554,3.225e-06,1.63195480750714,3.225e-06,0.09447797207088225,3.225e-06,1.477672891986863,3.225e-06,1.317454256920385,3.225e-06,1.672170969805518,3.225e-06,1.720386402464428,3.225e-06,0.03175776826642914,3.225e-06,0.2386721171374626
3.325e-06,1.247051386967763,3.325e-06,1.403368773041647,3.325e-06,1.781002874095414,3.325e-06,0.68448895343618,3.325e-06,0.8009076322926894,3.325e-06,0.09140415401050189,3.325e-06,0.8809544595769535,3.325e-06,1.154888531177718,3.325e-06,0.7604949259735572,3.325e-06,1.740187039047253,3.325e-06,1.673083622658897,3.325e-06,0.9626053943460701,3.325e-06,0.03737091165414895,3.325e-06,1.706856613074228,3.325e-06,1.550249247419667
3.425e-06,1.257148894975692,3.425e-06,1.416904959844133,3.425e-06,1.78695642697723,3.425e-06,0.5952130429849473,3.425e-06,0.970868948264739,3.425e-06,0.01120494777848281,3.425e-06,0.4661840718602061,3.425e-06,0.5679843696911084,3.425e-06,1.546246137876404,3.425e-06,0.8981433711680541,3.425e-06,0.4161894997071141,3.425e-06,0.07233849488155308,3.425e-06,1.420047320991667,3.425e-06,0.1875785555364849,3.425e-06,0.2613243673222636
3.525e-06,1.267192615095602,3.525e-06,1.430266003434562,3.525e-06,1.791283366760876,3.525e-06,0.509250551441933,3.525e-06,1.138274300562101,3.525e-06,0.02417752697721633,3.525e-06,0.1513738916513151,3.525e-06,0.1241520302626907,3.525e-06,1.777286513651018,3.525e-06,0.05852677067148552,3.525e-06,0.1685529626936539,3.525e-06,1.572696845712288,3.525e-06,0.9548134741063616,3.525e-06,1.489032651509917,3.525e-06,1.527173569038395
3.625e-06,1.277181034796265,3.625e-06,1.44344737678532,3.625e-06,1.793959900575679,3.625e-06,0.4275357982452376,3.625e-06,1.297083679920286,3.625e-06,0.1289604436515238,3.625e-06,0.009058944668366389,3.625e-06,0.01464204849795649,3.625e-06,1.255243700386019,3.625e-06,0.3252619011242083,3.625e-06,1.446647242912982,3.625e-06,1.130280772458155,3.625e-06,0.2951235569753704,3.625e-06,0.4586889330684139,3.625e-06,0.2848413595649454
3.725e-06,1.287112649558359,3.725e-06,1.456445106505619,3.725e-06,1.794986171931136,3.725e-06,0.3509574939103919,3.725e-06,1.441571566871047,3.725e-06,0.3145707308061298,3.725e-06,0.07202536024114103,3.725e-06,0.2866231325309877,3.725e-06,0.4282086806172802,3.725e-06,1.347562999099326,3.725e-06,1.584605218166027,3.725e-06,0.0228733583980486,3.725e-06,1.785285193190742,3.725e-06,1.175916877088675,3.725e-06,1.503253890266345
3.825e-06,1.296985963771156,3.825e-06,1.469253763092836,3.825e-06,1.794362341064009,3.825e-06,0.2803474308851514,3.825e-06,1.566520174755761,3.825e-06,0.5615480125814191,3.825e-06,0.3257582921526069,3.825e-06,0.8228880529068953,3.825e-06,0.006219003030466338,3.825e-06,1.781505950896237,3.825e-06,0.2945818757753549,3.825e-06,1.448960229876463,3.825e-06,0.1294350108362233,3.825e-06,0.8012003294493747,3.825e-06,0.3091827152953877
3.925e-06,1.306799490210967,3.925e-06,1.481869540476661,3.925e-06,1.792091531929739,3.925e-06,0.2164737447926511,3.925e-06,1.667430058470257,3.925e-06,0.8440029386643559,3.925e-06,0.7117947335445345,3.925e-06,1.392370114886229,3.925e-06,0.3515176010675848,3.925e-06,1.056605229984782,3.925e-06,0.2674973543111047,3.925e-06,1.289657162299901,3.925e-06,1.21209466985713,3.925e-06,0.8181774268075321,3.925e-06,1.478506580965807
