Sampled_Vgs (m=32) X,Sampled_Vgs (m=32) Y
2.098e-05,1.411518351325838
2.108e-05,1.112040185520227
2.118e-05,1.424289555686933
2.128e-05,1.101290880410678
2.138e-05,1.433022700037075
2.148e-05,1.094700321673002
2.158e-05,1.43749012413152
2.168e-05,1.092441029635708
2.178e-05,1.437568489210137
2.188e-05,1.094578349773421
2.198e-05,1.4332489324823
2.208e-05,1.101071374298902
2.218e-05,1.424648534113667
2.228e-05,1.1118315544373
2.238e-05,1.411979892748237
2.248e-05,1.126427618072295
2.258e-05,1.395573873444034
2.268e-05,1.144533275018733
2.278e-05,1.368461993148358
2.288e-05,1.165725970290945
2.298e-05,1.346366672717456
2.308e-05,1.189335550568965
2.318e-05,1.321958420298663
2.328e-05,1.214832004295341
2.338e-05,1.296050099844027
2.348e-05,1.241684975610489
2.358e-05,1.269170855328832
2.368e-05,1.269107622782572
2.378e-05,1.242101894847383
2.388e-05,1.29639963221501
2.398e-05,1.216012764823564
2.408e-05,1.322894089777631
2.418e-05,1.192066967490397
2.428e-05,1.347949366759779
2.438e-05,1.170404686955002
2.448e-05,1.370916221485049
2.458e-05,1.148675823086837
2.468e-05,1.383967255266203
2.478e-05,1.129899065363328
2.488e-05,1.400519538827941
2.498e-05,1.114563226984638
2.508e-05,1.4221380460037
2.518e-05,1.10304139958605
2.528e-05,1.431669673962845
2.538e-05,1.095635941540158
2.548e-05,1.436969833127153
2.558e-05,1.092535296253059
2.568e-05,1.437896320338826
2.578e-05,1.093823578317739
2.588e-05,1.434417766814696
2.598e-05,1.099530713219453
2.608e-05,1.426624068174007
2.618e-05,1.109466290035187
2.628e-05,1.414717679357651
2.638e-05,1.123336921409092
2.648e-05,1.399002049134724
2.658e-05,1.140793384306471
2.668e-05,1.372393357344433
2.678e-05,1.161437641553485
2.688e-05,1.350810779404011
2.698e-05,1.184609992329977
2.708e-05,1.326853429056487
2.718e-05,1.209792544664934
2.728e-05,1.30113188498686
2.738e-05,1.236454901462266
2.748e-05,1.274378089820499
2.758e-05,1.263823079719502
2.768e-05,1.247290456721227
2.778e-05,1.291193060332372
2.788e-05,1.22077183741209
2.798e-05,1.317889829570632
2.808e-05,1.196563283029842
2.818e-05,1.343273338943393
2.828e-05,1.174871769935976
2.838e-05,1.366689708342675
2.848e-05,1.152641129312687
2.858e-05,1.380384770649992
2.868e-05,1.133256501932323
2.878e-05,1.397619876387046
2.888e-05,1.117229276271301
2.898e-05,1.419839510663574
2.908e-05,1.104944739220827
2.918e-05,1.430159750653131
2.928e-05,1.096730683353284
2.938e-05,1.436287045660214
2.948e-05,1.092792078735566
2.958e-05,1.438061073167475
2.968e-05,1.093236106729818
2.978e-05,1.435426429320398
2.988e-05,1.098105697399406
2.998e-05,1.428448999870087
3.008e-05,1.107249942580177
3.018e-05,1.417314210993382
3.028e-05,1.120428661530807
3.038e-05,1.402303931533567
3.048e-05,1.137180424031982
3.058e-05,1.376211677422347
3.068e-05,1.157245359713372
3.078e-05,1.355166849114297
3.088e-05,1.180037638745153
3.098e-05,1.331612883236782
3.108e-05,1.204915938073045
3.118e-05,1.306181262927587
3.128e-05,1.231251171476005
3.138e-05,1.279573090205539
3.148e-05,1.25853831037229
3.158e-05,1.252489137820843
3.167999999999999e-05,1.285960635760643
3.178e-05,1.225628363241995
3.188e-05,1.312836128833473
